sample_date,site_id,constituent,conc
1989-05-16,PRM,ca_avg,6.354
1989-05-16,PRM,nh4_n_avg,NA
1989-05-16,PRM,no3_n_avg,74.4
1989-05-16,PRM,mg_avg,1.936
1989-05-16,PRM,k_avg,0.6859999999999999
1989-05-23,PRM,ca_avg,6.568333333333333
1989-05-23,PRM,nh4_n_avg,NA
1989-05-23,PRM,no3_n_avg,73.83333333333333
1989-05-23,PRM,mg_avg,1.9433333333333334
1989-05-23,PRM,k_avg,0.6816666666666666
1989-05-30,PRM,ca_avg,6.748571428571428
1989-05-30,PRM,nh4_n_avg,NA
1989-05-30,PRM,no3_n_avg,73.83333333333333
1989-05-30,PRM,mg_avg,2.138571428571429
1989-05-30,PRM,k_avg,0.6842857142857143
1989-06-06,PRM,ca_avg,6.30125
1989-06-06,PRM,nh4_n_avg,NA
1989-06-06,PRM,no3_n_avg,64.71428571428571
1989-06-06,PRM,mg_avg,1.9737500000000001
1989-06-06,PRM,k_avg,0.67625
1989-06-13,PRM,ca_avg,6.483333333333333
1989-06-13,PRM,nh4_n_avg,NA
1989-06-13,PRM,no3_n_avg,59.625
1989-06-13,PRM,mg_avg,1.96
1989-06-13,PRM,k_avg,0.6855555555555556
1989-06-20,PRM,ca_avg,6.525
1989-06-20,PRM,nh4_n_avg,NA
1989-06-20,PRM,no3_n_avg,58.285714285714285
1989-06-20,PRM,mg_avg,1.965
1989-06-20,PRM,k_avg,0.675
1989-06-27,PRM,ca_avg,6.4975000000000005
1989-06-27,PRM,nh4_n_avg,NA
1989-06-27,PRM,no3_n_avg,49.857142857142854
1989-06-27,PRM,mg_avg,1.85125
1989-06-27,PRM,k_avg,0.67125
1989-07-05,PRM,ca_avg,6.73375
1989-07-05,PRM,nh4_n_avg,NA
1989-07-05,PRM,no3_n_avg,51.42857142857143
1989-07-05,PRM,mg_avg,1.85875
1989-07-05,PRM,k_avg,0.675
1989-07-11,PRM,ca_avg,6.83375
1989-07-11,PRM,nh4_n_avg,NA
1989-07-11,PRM,no3_n_avg,65.42857142857143
1989-07-11,PRM,mg_avg,1.8787500000000001
1989-07-11,PRM,k_avg,0.68875
1989-07-26,PRM,ca_avg,6.6
